"effect","component","term","estimate","std.error","statistic","p.value"
"fixed","cond","(Intercept)",-0.454883781406094,0.136106583090938,-3.34211447437608,0.000831427637667181
"fixed","cond","ShotsOnTarget",0.184468270781832,0.0148562369562168,12.4168907190618,2.11627533990211e-35
"fixed","cond","Shots",8.31057116390959e-05,0.00860538368213315,0.00965740921135723,0.992294622067477
"fixed","cond","Corners",-0.0292979803096281,0.0123781442392876,-2.3669121754647,0.0179371887235864
"fixed","cond","Fouls",0.00424666348815427,0.00947048805579613,0.448410204747074,0.653857178343519
"fixed","cond","YellowCards",-0.0343094786513975,0.0276085953675165,-1.24271003992347,0.213974702873556
"fixed","cond","RedCards",-0.36452919328664,0.18386729959229,-1.98256674294424,0.0474158452776224
"fixed","cond","LocationHome",0.0617795413044408,0.0626525635982011,0.98606565727527,0.324100894813145
